,ticker,recommendation date,recommendation,subsector,averageVolume10days,price_0406,price_0405,price_0204,price_1403,price_2412,free_cash_flow,short_term_debt,long_term_debt,ebitda,market_cap,sector,debt/ebitda,debt/cash,up,text,size,color
34,AA,2020-05-26 11:47:17,Equal-Weight,Aluminum,9412612,12.69,7.8,6.25,8.0,21.48,307.0,1.0,1799.0,275.0,2000.0,Basic Materials,6.545454545454546,5.863192182410423,0.6926713947990544,Ticker:AA<br>Subsector:Aluminum<br>YF Recomm:Equal-Weight<br>YF Recomm Date:2020-05-26 11:47:17<br>averageVolume10days:9412612<br>Down:0.6926713947990544,13.853427895981088,
38,Y,2020-05-06 11:49:19,Buy,Insurance—Property & Casualty,61625,581.49,499.91,514.7,594.94,777.56,714.4,0.0,1751.11,1243.11,7830.0,Financial Services,1.4086524925388744,2.451161814109742,0.33718550619959053,Ticker:Y<br>Subsector:Insurance—Property & Casualty<br>YF Recomm:Buy<br>YF Recomm Date:2020-05-06 11:49:19<br>averageVolume10days:61625<br>Down:0.33718550619959053,6.743710123991811,#09f349
39,ALGT,2020-05-13 09:59:53,Outperform,Airlines,441114,136.01,70.04,71.29,113.31,179.1,-64.64,173.27,1248.58,519.8,1970.0,Industrials,2.735378991919969,-21.996441831683168,0.3168149400779354,Ticker:ALGT<br>Subsector:Airlines<br>YF Recomm:Outperform<br>YF Recomm Date:2020-05-13 09:59:53<br>averageVolume10days:441114<br>Down:0.3168149400779354,6.3362988015587085,
40,ALLE,2020-05-21 10:23:21,Underweight,Security & Protection Services,724562,109.84,94.76,84.59,111.49,123.07,422.6,0.1,1427.6,648.1,9690.0,Industrials,2.202900786915599,3.3783719829626118,0.12044792425345952,Ticker:ALLE<br>Subsector:Security & Protection Services<br>YF Recomm:Underweight<br>YF Recomm Date:2020-05-21 10:23:21<br>averageVolume10days:724562<br>Down:0.12044792425345952,2.4089584850691903,
41,ADS,2020-05-27 11:36:32,Hold,Credit Services,2270787,59.77,46.1,30.88,49.25,110.22,1075.4,22.6,291.7,1600.1,2630.0,Financial Services,0.19642522342353605,0.2922633438720476,0.8440689309017901,Ticker:ADS<br>Subsector:Credit Services<br>YF Recomm:Hold<br>YF Recomm Date:2020-05-27 11:36:32<br>averageVolume10days:2270787<br>Down:0.8440689309017901,16.881378618035804,
42,LNT,2020-05-13 12:44:01,Overweight,Utilities—Regulated Electric,1401050,50.65,47.5,44.63,50.52,53.55,-979.7,657.2,5533.0,1344.9,12730.0,Utilities,4.60272139192505,-6.318464836174338,0.057255676209279294,Ticker:LNT<br>Subsector:Utilities—Regulated Electric<br>YF Recomm:Overweight<br>YF Recomm Date:2020-05-13 12:44:01<br>averageVolume10days:1401050<br>Down:0.057255676209279294,1.1451135241855859,
43,ALSN,2020-05-06 12:55:24,Outperform,Auto Parts,879287,41.85,35.03,30.27,32.83,48.5,675.0,6.0,2512.0,1064.0,4420.0,Consumer Cyclical,2.3665413533834587,3.7303703703703706,0.15890083632019114,Ticker:ALSN<br>Subsector:Auto Parts<br>YF Recomm:Outperform<br>YF Recomm Date:2020-05-06 12:55:24<br>averageVolume10days:879287<br>Down:0.15890083632019114,3.178016726403823,
45,MDRX,2020-05-13 15:43:44,Underweight,Health Information Services,1769262,7.0,5.73,6.71,6.1,9.84,36.58,20.06,647.54,99.29,1090.0,Healthcare,6.723738543659985,18.25041006014215,0.4057142857142857,Ticker:MDRX<br>Subsector:Health Information Services<br>YF Recomm:Underweight<br>YF Recomm Date:2020-05-13 15:43:44<br>averageVolume10days:1769262<br>Down:0.4057142857142857,8.114285714285714,
51,MO,2020-05-01 12:29:54,Buy,Tobacco,10236137,41.51,38.01,37.61,39.0,49.35,7591.0,1000.0,27042.0,10552.0,74730.0,Consumer Defensive,2.657505686125853,3.6941114477670927,0.1888701517706577,Ticker:MO<br>Subsector:Tobacco<br>YF Recomm:Buy<br>YF Recomm Date:2020-05-01 12:29:54<br>averageVolume10days:10236137<br>Down:0.1888701517706577,3.777403035413154,#09f349
52,ACH,2020-01-07 16:36:41,Sell,Aluminum,148837,5.18,4.93,4.69,5.85,8.2,989.04,6876.06,7844.77,933.64,6140.0,Basic Materials,15.76713722633992,14.883958181671117,0.583011583011583,Ticker:ACH<br>Subsector:Aluminum<br>YF Recomm:Sell<br>YF Recomm Date:2020-01-07 16:36:41<br>averageVolume10days:148837<br>Down:0.583011583011583,11.66023166023166,
54,AMCX,2020-05-19 10:30:18,In-Line,Broadcasting,790350,33.62,23.9,22.44,27.94,39.57,392.14,56.25,3039.98,1730.8,1650.0,Communication Services,1.788901086202912,7.895726016218697,0.1769779892920882,Ticker:AMCX<br>Subsector:Broadcasting<br>YF Recomm:In-Line<br>YF Recomm Date:2020-05-19 10:30:18<br>averageVolume10days:790350<br>Down:0.1769779892920882,3.539559785841764,
58,CRMT,2020-03-03 17:50:01,Buy,Auto & Truck Dealerships,85837,90.9,67.93,49.21,82.37,107.03,20.87,0.84,152.92,64.07,570.0,Consumer Cyclical,2.3998751365693773,7.367513176808815,0.17744774477447733,Ticker:CRMT<br>Subsector:Auto & Truck Dealerships<br>YF Recomm:Buy<br>YF Recomm Date:2020-03-03 17:50:01<br>averageVolume10days:85837<br>Down:0.17744774477447733,3.5489548954895467,#09f349
59,AAL,2020-06-05 10:59:57,Underperform,Airlines,114315200,21.25,9.82,10.69,14.31,29.19,-453.0,2861.0,21454.0,5383.0,5010.0,Industrials,4.516997956529816,-53.675496688741724,0.37364705882352944,Ticker:AAL<br>Subsector:Airlines<br>YF Recomm:Underperform<br>YF Recomm Date:2020-06-05 10:59:57<br>averageVolume10days:114315200<br>Down:0.37364705882352944,7.472941176470589,
60,AXP,2020-06-04 12:17:55,Sector Perform,Credit Services,7173762,114.11,86.38,77.41,99.05,123.37,11987.0,6442.0,19668.0,9617.0,84840.0,Financial Services,2.7149838827077053,2.178193042462668,0.08114976776794336,Ticker:AXP<br>Subsector:Credit Services<br>YF Recomm:Sector Perform<br>YF Recomm Date:2020-06-04 12:17:55<br>averageVolume10days:7173762<br>Down:0.08114976776794336,1.6229953553588672,
61,AFG,2020-05-12 15:40:09,Hold,Insurance—Property & Casualty,1484725,70.77,61.66,64.73,75.8,108.33,2083.0,0.0,1302.0,849.0,5840.0,Financial Services,1.5335689045936396,0.6250600096015363,0.5307333615938958,Ticker:AFG<br>Subsector:Insurance—Property & Casualty<br>YF Recomm:Hold<br>YF Recomm Date:2020-05-12 15:40:09<br>averageVolume10days:1484725<br>Down:0.5307333615938958,10.614667231877917,
66,AMWD,2020-04-21 13:14:26,Buy,"Furnishings, Fixtures & Appliances",197687,73.39,50.05,42.11,57.81,104.24,158.72,2.29,689.21,238.86,1160.0,Consumer Cyclical,2.8950012559658376,4.356728830645161,0.4203569968660579,"Ticker:AMWD<br>Subsector:Furnishings, Fixtures & Appliances<br>YF Recomm:Buy<br>YF Recomm Date:2020-04-21 13:14:26<br>averageVolume10days:197687<br>Down:0.4203569968660579",8.407139937321158,#09f349
69,AMGN,2020-06-02 10:36:23,Market Perform,Drug Manufacturers—General,2905050,219.7,229.36,196.48,200.74,239.69,8532.0,2953.0,26950.0,11880.0,130000.0,Healthcare,2.517087542087542,3.504805438349742,0.09098771051433774,Ticker:AMGN<br>Subsector:Drug Manufacturers—General<br>YF Recomm:Market Perform<br>YF Recomm Date:2020-06-02 10:36:23<br>averageVolume10days:2905050<br>Down:0.09098771051433774,1.8197542102867548,
70,AMN,2020-05-12 13:44:09,Buy,Medical Care Facilities,619637,46.22,42.58,58.19,74.48,61.49,188.4,13.94,617.16,235.73,2120.0,Healthcare,2.6772154583633823,3.349787685774947,0.6114236261358721,Ticker:AMN<br>Subsector:Medical Care Facilities<br>YF Recomm:Buy<br>YF Recomm Date:2020-05-12 13:44:09<br>averageVolume10days:619637<br>Down:0.6114236261358721,12.228472522717443,#09f349
72,PLAN,2020-05-27 12:24:28,Buy,Software—Infrastructure,4467587,43.84,39.47,28.39,38.56,52.82,-18.4,7.28,34.02,-107.58,6220.0,Technology,-0.38390035322550664,-2.2445652173913047,0.20483576642335755,Ticker:PLAN<br>Subsector:Software—Infrastructure<br>YF Recomm:Buy<br>YF Recomm Date:2020-05-27 12:24:28<br>averageVolume10days:4467587<br>Down:0.20483576642335755,4.096715328467151,#09f349
74,ANDE,2020-02-20 13:19:07,Neutral,Food Distribution,285525,14.8,15.69,17.83,16.92,24.62,183.34,62.9,1016.25,174.28,450.0,Consumer Defensive,6.192047280238697,5.886058688774954,0.6635135135135135,Ticker:ANDE<br>Subsector:Food Distribution<br>YF Recomm:Neutral<br>YF Recomm Date:2020-02-20 13:19:07<br>averageVolume10days:285525<br>Down:0.6635135135135135,13.27027027027027,
76,BUD,2020-05-26 15:33:38,Hold,Beverages—Brewers,4605487,58.12,42.39,43.05,44.29,81.86,10014.0,4330.0,105584.0,20635.0,105510.0,Consumer Defensive,5.32658105161134,10.976033553025763,0.4084652443220922,Ticker:BUD<br>Subsector:Beverages—Brewers<br>YF Recomm:Hold<br>YF Recomm Date:2020-05-26 15:33:38<br>averageVolume10days:4605487<br>Down:0.4084652443220922,8.169304886441843,
77,ANIP,2020-05-08 12:29:13,Outperform,Drug Manufacturers—Specialty & Generic,205512,32.04,38.97,37.77,35.94,63.84,18.08,9.94,175.81,67.99,370.0,Healthcare,2.7320194146197974,10.27378318584071,0.9925093632958804,Ticker:ANIP<br>Subsector:Drug Manufacturers—Specialty & Generic<br>YF Recomm:Outperform<br>YF Recomm Date:2020-05-08 12:29:13<br>averageVolume10days:205512<br>Down:0.9925093632958804,19.850187265917608,
78,ANIK,2020-01-22 15:12:24,Buy,Biotechnology,176975,35.9,32.95,28.47,31.94,52.29,34.18,0.0,21.37,41.42,470.0,Healthcare,0.5159343312409465,0.6252194265652429,0.45654596100278555,Ticker:ANIK<br>Subsector:Biotechnology<br>YF Recomm:Buy<br>YF Recomm Date:2020-01-22 15:12:24<br>averageVolume10days:176975<br>Down:0.45654596100278555,9.130919220055711,#09f349
82,APA,2020-06-03 12:05:10,Equal-Weight,Oil & Gas E&P,20677975,14.34,12.06,4.01,8.05,26.25,2867.0,11.0,8555.0,-328.0,4730.0,Energy,-26.115853658536587,2.9877921171956747,0.8305439330543933,Ticker:APA<br>Subsector:Oil & Gas E&P<br>YF Recomm:Equal-Weight<br>YF Recomm Date:2020-06-03 12:05:10<br>averageVolume10days:20677975<br>Down:0.8305439330543933,16.610878661087867,
83,APY,2020-06-01 10:22:25,Buy,Oil & Gas Equipment & Services,19148800,9.65,9.06,6.1,6.66,33.7,116.12,4.84,559.82,181.76,800.0,Energy,3.1066241197183104,4.862728212194282,2.4922279792746114,Ticker:APY<br>Subsector:Oil & Gas Equipment & Services<br>YF Recomm:Buy<br>YF Recomm Date:2020-06-01 10:22:25<br>averageVolume10days:19148800<br>Down:2.4922279792746114,49.84455958549223,#09f349
89,ARMK,2020-05-06 15:29:04,Neutral,Restaurants,3455350,30.1,25.43,18.38,24.1,43.22,481.14,69.93,6612.24,1483.77,7050.0,Consumer Cyclical,4.503507956084838,13.888203017832648,0.4358803986710962,Ticker:ARMK<br>Subsector:Restaurants<br>YF Recomm:Neutral<br>YF Recomm Date:2020-05-06 15:29:04<br>averageVolume10days:3455350<br>Down:0.4358803986710962,8.717607973421924,
90,ADM,2020-05-05 12:40:39,Neutral,Farm Products,3248971,41.95,34.41,33.53,34.29,45.2,-6280.0,7.0,7672.0,2581.0,22500.0,Consumer Defensive,2.9752034095311894,-1.2227707006369426,0.07747318235995238,Ticker:ADM<br>Subsector:Farm Products<br>YF Recomm:Neutral<br>YF Recomm Date:2020-05-05 12:40:39<br>averageVolume10days:3248971<br>Down:0.07747318235995238,1.5494636471990475,
92,AWI,2020-04-17 16:17:16,Buy,Building Products & Equipment,499700,81.96,73.8,73.13,87.53,92.62,111.4,6.3,604.5,389.5,3840.0,Industrials,1.5681643132220795,5.482944344703769,0.13006344558321148,Ticker:AWI<br>Subsector:Building Products & Equipment<br>YF Recomm:Buy<br>YF Recomm Date:2020-04-17 16:17:16<br>averageVolume10days:499700<br>Down:0.13006344558321148,2.6012689116642296,#09f349
93,ARW,2020-05-05 11:58:43,Neutral,Electronics & Computer Distribution,722062,76.79,61.03,50.17,56.81,84.74,707.19,331.43,2640.13,297.49,5780.0,Technology,9.988772731856532,4.201925932210579,0.10352910535225934,Ticker:ARW<br>Subsector:Electronics & Computer Distribution<br>YF Recomm:Neutral<br>YF Recomm Date:2020-05-05 11:58:43<br>averageVolume10days:722062<br>Down:0.10352910535225934,2.070582107045187,
95,ABG,2020-05-18 11:44:25,Equal-Weight,Auto & Truck Dealerships,207150,85.95,65.98,47.25,55.11,114.12,292.2,32.4,907.0,384.8,1520.0,Consumer Cyclical,2.441268191268191,3.21492128678987,0.32774869109947646,Ticker:ABG<br>Subsector:Auto & Truck Dealerships<br>YF Recomm:Equal-Weight<br>YF Recomm Date:2020-05-18 11:44:25<br>averageVolume10days:207150<br>Down:0.32774869109947646,6.554973821989529,
98,AZPN,2020-05-07 10:06:14,Overweight,Software—Application,638512,111.21,99.51,89.27,96.13,122.54,237.88,220.0,0.0,290.94,7600.0,Technology,0.7561696569739466,0.924836051790819,0.10187932739861538,Ticker:AZPN<br>Subsector:Software—Application<br>YF Recomm:Overweight<br>YF Recomm Date:2020-05-07 10:06:14<br>averageVolume10days:638512<br>Down:0.10187932739861538,2.0375865479723076,
99,AIZ,2020-05-18 11:53:27,Overweight,Insurance—Specialty,415725,116.27,99.38,101.48,103.88,126.58,1303.1,0.0,0.0,694.6,6460.0,Financial Services,0.0,0.0,0.08867291648748599,Ticker:AIZ<br>Subsector:Insurance—Specialty<br>YF Recomm:Overweight<br>YF Recomm Date:2020-05-18 11:53:27<br>averageVolume10days:415725<br>Down:0.08867291648748599,1.7734583297497197,
100,ATRO,2020-05-07 17:38:16,Hold,Aerospace & Defense,587962,13.64,7.9,7.41,14.71,28.47,30.61,0.22,188.0,34.75,350.0,Industrials,5.416402877697842,6.148970924534466,1.0872434017595305,Ticker:ATRO<br>Subsector:Aerospace & Defense<br>YF Recomm:Hold<br>YF Recomm Date:2020-05-07 17:38:16<br>averageVolume10days:587962<br>Down:1.0872434017595305,21.74486803519061,
101,T,2020-04-28 12:00:00,Buy,Telecom Services,35029837,32.54,29.6,27.57,33.87,37.89,29233.0,11838.0,151309.0,65759.0,224510.0,Communication Services,2.480983591599629,5.580918824616016,0.16441303011677944,Ticker:T<br>Subsector:Telecom Services<br>YF Recomm:Buy<br>YF Recomm Date:2020-04-28 12:00:00<br>averageVolume10days:35029837<br>Down:0.16441303011677944,3.2882606023355887,#09f349
102,ATRA,2020-05-12 14:34:27,Neutral,Biotechnology,2631637,10.038,8.8,7.78,8.32,15.94,-241.36,5.73,14.14,-287.25,620.0,Healthcare,-0.06917319408181027,-0.08232515744116672,0.5879657302251444,Ticker:ATRA<br>Subsector:Biotechnology<br>YF Recomm:Neutral<br>YF Recomm Date:2020-05-12 14:34:27<br>averageVolume10days:2631637<br>Down:0.5879657302251444,11.759314604502888,
103,ATKR,2020-05-06 12:48:06,Neutral,Specialty Industrial Machinery,298062,30.0,22.86,18.9,29.16,40.62,174.83,0.0,845.32,297.81,1370.0,Industrials,2.8384540478828786,4.835096951324143,0.35399999999999987,Ticker:ATKR<br>Subsector:Specialty Industrial Machinery<br>YF Recomm:Neutral<br>YF Recomm Date:2020-05-06 12:48:06<br>averageVolume10days:298062<br>Down:0.35399999999999987,7.079999999999997,
105,ADP,2020-05-18 13:28:36,Underperform,Staffing & Employment Services,2718525,154.3,144.48,129.72,144.5,168.97,2283.8,262.0,2002.2,4238.5,65190.0,Industrials,0.5341984192520939,0.9914178124178998,0.09507453013609846,Ticker:ADP<br>Subsector:Staffing & Employment Services<br>YF Recomm:Underperform<br>YF Recomm Date:2020-05-18 13:28:36<br>averageVolume10days:2718525<br>Down:0.09507453013609846,1.9014906027219691,
106,AN,2020-05-18 11:57:38,Underweight,Auto & Truck Dealerships,957137,43.93,36.49,26.52,34.01,48.7,124.0,44.3,1926.2,949.5,3690.0,Consumer Cyclical,2.0753027909426014,15.891129032258064,0.10858183473708172,Ticker:AN<br>Subsector:Auto & Truck Dealerships<br>YF Recomm:Underweight<br>YF Recomm Date:2020-05-18 11:57:38<br>averageVolume10days:957137<br>Down:0.10858183473708172,2.1716366947416343,
107,AZO,2020-05-27 13:59:57,Buy,Specialty Retail,307962,1155.22,1009.94,776.86,1012.73,1213.87,1632.46,56.25,5206.34,2594.26,26860.0,Consumer Cyclical,2.0285514944531386,3.2237175796037882,0.05076955038867048,Ticker:AZO<br>Subsector:Specialty Retail<br>YF Recomm:Buy<br>YF Recomm Date:2020-05-27 13:59:57<br>averageVolume10days:307962<br>Down:0.05076955038867048,1.0153910077734096,#09f349
109,AVNS,2020-05-07 11:34:48,Underweight,Medical Devices,375250,29.93,31.04,23.48,26.37,33.69,-125.1,14.7,248.1,-18.8,1370.0,Healthcare,-13.97872340425532,-2.100719424460432,0.12562646174406944,Ticker:AVNS<br>Subsector:Medical Devices<br>YF Recomm:Underweight<br>YF Recomm Date:2020-05-07 11:34:48<br>averageVolume10days:375250<br>Down:0.12562646174406944,2.512529234881389,
110,AVY,2020-04-30 14:36:09,Market Perform,Business Equipment & Supplies,630512,122.7,106.37,95.44,105.54,131.55,527.1,440.2,1499.3,428.5,9980.0,Industrials,4.526254375729288,3.6795674445076836,0.07212713936430326,Ticker:AVY<br>Subsector:Business Equipment & Supplies<br>YF Recomm:Market Perform<br>YF Recomm Date:2020-04-30 14:36:09<br>averageVolume10days:630512<br>Down:0.07212713936430326,1.4425427872860652,
111,AXGN,2020-05-07 11:27:12,Hold,Medical Devices,420787,10.34,9.71,8.68,10.65,18.15,-25.1,1.74,1.59,-28.53,410.0,Healthcare,-0.1167192429022082,-0.13266932270916335,0.7553191489361701,Ticker:AXGN<br>Subsector:Medical Devices<br>YF Recomm:Hold<br>YF Recomm Date:2020-05-07 11:27:12<br>averageVolume10days:420787<br>Down:0.7553191489361701,15.106382978723403,
113,AX,2020-05-15 12:25:16,Strong Buy,Banks—Regional,369462,25.21,21.79,16.45,18.92,30.24,184.34,0.0,168.93,259.93,1360.0,Financial Services,0.6499057438541146,0.9164044700010849,0.1995239984133279,Ticker:AX<br>Subsector:Banks—Regional<br>YF Recomm:Strong Buy<br>YF Recomm Date:2020-05-15 12:25:16<br>averageVolume10days:369462<br>Down:0.1995239984133279,3.990479968266558,#E74C3C
114,AXSM,2020-04-28 14:14:58,Buy,Biotechnology,535987,74.7,91.72,55.79,61.24,98.74,-46.39,2.6,17.33,-66.56,2750.0,Healthcare,-0.2994290865384615,-0.42961845225264067,0.3218206157965193,Ticker:AXSM<br>Subsector:Biotechnology<br>YF Recomm:Buy<br>YF Recomm Date:2020-04-28 14:14:58<br>averageVolume10days:535987<br>Down:0.3218206157965193,6.4364123159303865,#09f349
116,BIDU,2020-05-20 11:56:35,Neutral,Internet Content & Information,4645125,111.86,94.76,97.68,100.29,128.83,3941.82,1447.32,7945.44,5489.0,38760.0,Communication Services,1.7111969393332118,2.3828485318964336,0.1517074915072414,Ticker:BIDU<br>Subsector:Internet Content & Information<br>YF Recomm:Neutral<br>YF Recomm Date:2020-05-20 11:56:35<br>averageVolume10days:4645125<br>Down:0.1517074915072414,3.0341498301448278,
117,BKR,2020-05-26 13:46:56,Buy,Oil & Gas Equipment & Services,6048075,18.2,13.81,9.69,12.58,25.01,886.0,321.0,6301.0,2492.0,17890.0,Energy,2.657303370786517,7.474040632054176,0.3741758241758244,Ticker:BKR<br>Subsector:Oil & Gas Equipment & Services<br>YF Recomm:Buy<br>YF Recomm Date:2020-05-26 13:46:56<br>averageVolume10days:6048075<br>Down:0.3741758241758244,7.483516483516488,#09f349
121,BAC,2020-05-04 14:03:02,Neutral,Banks—Diversified,93260125,28.95,22.77,19.63,23.99,34.7,61777.0,3941.0,240856.0,32417.0,225480.0,Financial Services,7.55150075577629,3.9625912556453047,0.1986183074265977,Ticker:BAC<br>Subsector:Banks—Diversified<br>YF Recomm:Neutral<br>YF Recomm Date:2020-05-04 14:03:02<br>averageVolume10days:93260125<br>Down:0.1986183074265977,3.972366148531954,
123,BBSI,2020-04-22 14:54:36,Buy,Staffing & Employment Services,57612,55.31,44.59,35.74,48.26,89.65,66.34,6.67,3.73,53.26,410.0,Industrials,0.19526849417949682,0.15676816400361773,0.6208642198517447,Ticker:BBSI<br>Subsector:Staffing & Employment Services<br>YF Recomm:Buy<br>YF Recomm Date:2020-04-22 14:54:36<br>averageVolume10days:57612<br>Down:0.6208642198517447,12.417284397034894,#09f349
125,BECN,2020-04-16 16:55:07,Buy,Building Products & Equipment,467150,28.98,20.63,15.04,18.46,31.21,155.62,18.69,80.96,427.8,1830.0,Industrials,0.2329359513791491,0.6403418583729596,0.07694962042788123,Ticker:BECN<br>Subsector:Building Products & Equipment<br>YF Recomm:Buy<br>YF Recomm Date:2020-04-16 16:55:07<br>averageVolume10days:467150<br>Down:0.07694962042788123,1.5389924085576245,#09f349
126,BDX,2020-05-14 12:36:04,Overweight,Medical Instruments & Supplies,2134375,243.78,255.27,225.4,236.5,272.59,2373.0,1309.0,18081.0,4013.0,71670.0,Healthcare,4.8317966608522305,8.171091445427729,0.11818032652391497,Ticker:BDX<br>Subsector:Medical Instruments & Supplies<br>YF Recomm:Overweight<br>YF Recomm Date:2020-05-14 12:36:04<br>averageVolume10days:2134375<br>Down:0.11818032652391497,2.3636065304782994,
127,BBBY,2020-04-17 15:23:06,Neutral,Specialty Retail,10690575,9.69,5.91,3.79,7.29,16.33,313.54,463.0,1488.4,-357.55,1020.0,Consumer Cyclical,-5.457698224024612,6.223767302417555,0.6852425180598554,Ticker:BBBY<br>Subsector:Specialty Retail<br>YF Recomm:Neutral<br>YF Recomm Date:2020-04-17 15:23:06<br>averageVolume10days:10690575<br>Down:0.6852425180598554,13.704850361197106,
128,BDC,2020-04-30 16:36:12,Buy,Electrical Equipment & Parts,515412,39.12,31.62,33.95,37.61,55.4,166.89,0.0,1439.48,346.47,1630.0,Industrials,4.15470314890178,8.625322068428307,0.416155419222904,Ticker:BDC<br>Subsector:Electrical Equipment & Parts<br>YF Recomm:Buy<br>YF Recomm Date:2020-04-30 16:36:12<br>averageVolume10days:515412<br>Down:0.416155419222904,8.32310838445808,#09f349
132,BH,2017-01-31 15:51:42,Neutral,Restaurants,17175,83.1,70.88,47.7,83.18,113.7,76.0,7.1,263.18,17.1,240.0,Consumer Cyclical,15.805847953216375,3.5563157894736848,0.36823104693140807,Ticker:BH<br>Subsector:Restaurants<br>YF Recomm:Neutral<br>YF Recomm Date:2017-01-31 15:51:42<br>averageVolume10days:17175<br>Down:0.36823104693140807,7.364620938628161,
139,BJRI,2020-05-11 12:10:05,Hold,Restaurants,781937,29.14,20.36,11.68,20.29,37.35,33.84,32.19,448.33,121.13,550.0,Consumer Cyclical,3.9669776273425246,14.199763593380613,0.2817433081674674,Ticker:BJRI<br>Subsector:Restaurants<br>YF Recomm:Hold<br>YF Recomm Date:2020-05-11 12:10:05<br>averageVolume10days:781937<br>Down:0.2817433081674674,5.634866163349348,
